940306557EAE82E8F7B3E3EB62A1E797,The Bunker (EUR USA),null
5231726F089D9E3CF4B271F54AE199AC,Mega Man Legacy Collection (CHN EUR JPN USA),null
011DC959A3C29A6959194E126FDD2AAC,Arcade Archives Kid's Horehore Daisakusen (EUR JPN USA),null
98532B895FF8A3847770916B577B6E9C,Football Manager Touch 2018 (EUR USA),null
F9FC15F22B7B8DF7CCD02BCC10459876,Unholy Heights (EUR USA),null
0E6CFD533715BE21FBE552EDAB8EF02A,Romancing SaGa 2 (EUR USA),null
691C9B2C6D1F1E032DDC01FD026159FD,null,俄罗斯方块 99
0B60DC92CF69A9C2697CC901D565A22B,Crayola Scoot (EUR USA),null
F6A9FDEC32AA72FA326D65D9E6E61D2A,Cast of the Seven Godsends (EUR USA),null
271EEDE84E12CE6AD381282B77C5A570,Aperion Cyberstorm (EUR USA),null
9B9531010AF6D5E69CD7FE9F63A64A10,Bulb Boy (EUR),null
DACFE6D8E5B76E2A1967038B10E6A185,Revenant Saga (EUR JPN USA),null
8F6EF684382A96B9F07E75C540D1CA34,GUNBIRD for Nintendo Switch (EUR JPN USA),null
DDEF396C339D4C9AFD5BACB7424A26AA,Semispheres (EUR JPN USA),null
6CC8376C167A56B2501A941FA500C130,ONE PIECE  - PIRATE WARRIORS 3 - Deluxe Edition (CHN EUR USA),null
4BC2F02E76575DC6B3B3714E8091A144,返校 -Detention- (JPN),null
4B2E44BB5ECA5695E8CCC8DF9D275026,マンティス・バーン・レーシング (JPN),null
D31988949C609FC3B6FD6AEFE9830EBE,Disgaea 5 Complete (EUR USA),null
26E3C1128E5D6B6CEF5EEC9CC6E1D59D,KORG Gadget for Nintendo Switch (EUR JPN USA),null
4E907DCF84E5DDF3B0A7FD11ED956473,Koi DX (EUR USA),null
79EC1189088E767339D21942767BCF2E,Battle Chef Brigade (EUR JPN USA),null
06A93713B11C3AC1D0106026ACC43C10,世界の覇者Ｘ (JPN),null
C32B7B3E7C656F5366843226D09AAE5C,Shining Resonance Refrain (EUR USA),null
F476AB43D70AF863FE443B5546246311,Gear.Club Unlimited (EUR USA),null
4F99116B64C60443A967DFD7A6186C36,Sword of the Guardian (USA),null
EEB9A2FA4E227CC1AF0D205AD113CE9A,ACA NEOGEO PREHISTORIC ISLE 2 (EUR JPN USA),null
88ECB5212670F00394611176F1DBAE42,The Mahjong Huntress (EUR USA),null
38E9C5851D9D6CB20CA9EAE075ACCE4F,Pool Panic (EUR USA),null
8244FA877316D9A5092B4DF902D7E4F3,Tactical Mind (EUR USA),null
95F5C828267E3FC60E2D712F5133A5AB,Furi（フリー） (JPN),null
278A14AAB4FE4F30801661B3234A5E76,Runner3 (EUR USA),null
92EDE0C7C89D5ED13D0CA773BE080402,Ultra Street Fighter® II - The Final Challengers (USA),null
